time	Ix(U1:TE)/V(vin)
1.088632183164190e-02	4.568210e-03
1.088665373870280e-02	4.580646e-03
1.088731755282460e-02	4.605550e-03
1.088748350635505e-02	4.611787e-03
1.088781541341595e-02	4.624294e-03
1.088847922753775e-02	4.649343e-03
1.088864518106819e-02	4.655616e-03
1.088897708812909e-02	4.668199e-03
1.088964090225089e-02	4.693401e-03
1.088980685578134e-02	4.699713e-03
1.089013876284224e-02	4.712376e-03
1.089080257696404e-02	4.737740e-03
1.089096853049449e-02	4.744093e-03
1.089130043755539e-02	4.756842e-03
1.089196425167719e-02	4.782379e-03
1.089213020520764e-02	4.788777e-03
1.089246211226854e-02	4.801617e-03
1.089312592639034e-02	4.827408e-03
1.089445355463393e-02	4.879476e-03
1.089710881112113e-02	4.984466e-03
1.089777262524293e-02	5.011008e-03
1.089910025348653e-02	5.064644e-03
1.089943216054743e-02	5.078134e-03
1.090009597466923e-02	5.105263e-03
1.090059383526058e-02	5.125734e-03
1.090125764938238e-02	5.153137e-03
1.090142360291282e-02	5.160009e-03
1.090175550997372e-02	5.173817e-03
1.090241932409552e-02	5.201502e-03
1.090258527762597e-02	5.208445e-03
1.090291718468687e-02	5.222396e-03
1.090358099880867e-02	5.250369e-03
1.090374695233912e-02	5.257386e-03
1.090407885940002e-02	5.271482e-03
1.090474267352182e-02	5.299749e-03
1.090490862705227e-02	5.306838e-03
1.090524053411317e-02	5.321084e-03
1.090590434823497e-02	5.349647e-03
1.090607030176542e-02	5.356812e-03
1.090640220882631e-02	5.371207e-03
1.090706602294811e-02	5.400071e-03
1.090723197647856e-02	5.407311e-03
1.090756388353946e-02	5.421857e-03
1.090822769766126e-02	5.451024e-03
1.090839365119171e-02	5.458339e-03
1.090872555825261e-02	5.473037e-03
1.090938937237441e-02	5.502509e-03
1.090955532590486e-02	5.509900e-03
1.090988723296576e-02	5.524751e-03
1.091055104708756e-02	5.554529e-03
1.091071700061801e-02	5.561998e-03
