time	V(n001)
2.999604000000001e-02	-3.000000e+00
2.999900000000000e-02	-3.000000e+00
2.999910000000000e-02	-2.700000e+00
2.999930000000000e-02	-2.100000e+00
2.999970000000000e-02	-9.000000e-01
3.000000000000000e-02	0.000000e+00
3.999000000000000e-02	0.000000e+00
3.999010000000000e-02	-3.000000e-01
3.999030000000000e-02	-9.000000e-01
3.999070000000000e-02	-2.100000e+00
3.999100000000000e-02	-3.000000e+00
3.999108000000000e-02	-3.000000e+00
3.999124000000000e-02	-3.000000e+00
3.999156000000000e-02	-3.000000e+00
3.999220000000000e-02	-3.000000e+00
3.999348000000000e-02	-3.000000e+00
3.999604000000000e-02	-3.000000e+00
3.999900000000000e-02	-3.000000e+00
3.999910000000000e-02	-2.700000e+00
3.999930000000000e-02	-2.100000e+00
3.999970000000000e-02	-9.000000e-01
4.000000000000000e-02	0.000000e+00
4.999000000000000e-02	0.000000e+00
4.999010000000000e-02	-3.000000e-01
4.999030000000000e-02	-9.000000e-01
4.999070000000000e-02	-2.100000e+00
4.999100000000000e-02	-3.000000e+00
4.999108000000000e-02	-3.000000e+00
4.999124000000000e-02	-3.000000e+00
4.999156000000000e-02	-3.000000e+00
4.999220000000000e-02	-3.000000e+00
4.999348000000000e-02	-3.000000e+00
4.999604000000001e-02	-3.000000e+00
4.999899999999999e-02	-3.000000e+00
4.999910000000000e-02	-2.700000e+00
4.999930000000000e-02	-2.100000e+00
4.999969999999999e-02	-9.000000e-01
5.000000000000000e-02	0.000000e+00
5.998999999999999e-02	0.000000e+00
5.999010000000000e-02	-3.000000e-01
5.999030000000000e-02	-9.000000e-01
5.999069999999999e-02	-2.100000e+00
5.999100000000000e-02	-3.000000e+00
5.999108000000000e-02	-3.000000e+00
5.999123999999999e-02	-3.000000e+00
5.999155999999999e-02	-3.000000e+00
5.999220000000000e-02	-3.000000e+00
5.999347999999999e-02	-3.000000e+00
5.999604000000000e-02	-3.000000e+00
5.999900000000000e-02	-3.000000e+00
5.999910000000000e-02	-2.700000e+00
5.999930000000000e-02	-2.100000e+00
5.999970000000000e-02	-9.000000e-01
6.000000000000000e-02	0.000000e+00
6.999000000000000e-02	0.000000e+00
6.999010000000000e-02	-3.000000e-01
6.999030000000001e-02	-9.000000e-01
6.999070000000000e-02	-2.100000e+00
6.999100000000000e-02	-3.000000e+00
6.999108000000000e-02	-3.000000e+00
6.999124000000000e-02	-3.000000e+00
6.999155999999999e-02	-3.000000e+00
6.999219999999999e-02	-3.000000e+00
